| Vehicle | Buy Price | Sell Price | Inventory | Attachments | Seats | Variants |
| ------- | --------- | ---------- | --------- | ----------- | ----- | -------- |
| Kavz685 RF | 88820 | 24000 | 1000 | 4 Wood Crates, 2 Barrel, Jerrycan | 9 | Beige,Red,Green |
| F1 Pickup | 477000 | 142500 | 800 | 4 Barrels, 2 Wood Crates, Backpack , Rifle, Jerrycan | NaN | NaN |
| VBL | 149660 | 42000 | 900 | Wood Crate, Barrel , Backpack , 2 Rifle , Jerrycan | 3 | NaN |
| Ij 2715 RF | 89160 | 24000 | 600 | 2 Barrel, Packpack, 2 Rifle, Jerrycan | 6 | Green,Red,Blue |
| BTR 80 | 503320 | 147000 | 1000 | 4 Wood Crates, 2 Barrels , Backpack, Rifle, Seachest , Jerrycan | 4 | Camo 2 |
| PAZ 672 | 168320 | 48000 | 1000 | 4 Wood Crates, 5 Barrels , Seachest , Jerry | 6 | NaN |
| GAZ 66 | 187640 | 54000 | 1000 | 3 Wood Crates, 2 Barrel , Backpack , 2 Rifles , Jerrycan | 6 | NaN |
| GAZ Kuzov | 189520 | 54000 | 1000 | 3 Wood Crates, 2 Barrel , Backpack , 2 Rifles , Jerrycan | 6 | NaN |
| UAZ 3962 | 169660 | 48000 | 800 | 2 Wood Crates, 4 Barrel, Seachest, Jerrycan | 4 | Green,MCHS,VAI |
| Willys | 82160 | 22500 | 600 | 2 Wood Crates , 2 Rifle , Jerrycan | 3 | NaN |
| Zil 131 Tent | 1010320 | 300000 | 1000 | 4 Wood Crates, 4 Barrel, Backpack, Jerrycan | 12 | NaN |
| Zil 131 | 1010320 | 300000 | 1000 | 4 Barrel, Backpack, Seachest, 2 Rifle, Pistol, Pants, Headgear,Gloves,Shoes,Jacket,Jerrycan | 12 | Tent |
| Gaz 3110 | 269660 | 78000 | 600 | 2 Wood Crates , 2 Rifle , Backpack, Jerrycan | 4 | Taxi,White,Black |
| Gaz M20 | 369660 | 108000 | 600 | 2 Wood Crates, Backpack, 2 Rifle, Jerrycan | 4 | White,Green,Black,Red,Blue |
| Ij 2125 Kombi | 350130 | 102000 | 400 | 2 Wood Crates, Backpack, 2 Rifle, Jerrycan | 4 | Beige, Green, Orange, Red |
| UAZ 27722 | 569660 | 168000 | 800 | 4 Wood Crates, Backpack, 2 Rifle, Jerrycan | 4 | MCHS |
| Marcedes G4 | 561660 | 165000 | 800 | 4 Wood Crates, Jerrycan | 4 | NaN |
| UAZ 31519 | 259660 | 75000 | 800 | 4 Wood Crates, Backpack, 2 Rifle, Radio, Jerrycan | 5 | Police |
| GAZ 33081 | 989820 | 294000 | 1000 | 4 Wood Crates, 9 Barrels, Backpack, Jerrycan | 4 | NaN |
| Niva 2329 | 169020 | 48000 | 600 | Wood Crate, 2 Barrel, Seachest, Jerrycan | 2 | Camo |
| UAZ 3163 | 367660 | 108000 | 800 | Wood Crates, Seachest , Jerrycan | 4 | Black, Red, Blue, Green, White, Gamekeeper |
| AEC Matador | 488320 | 144000 | 1000 | 3 Wood Crates, 7 Barrel, Seachest, Radio, 2 Rifles, Log, Planks, Metal, Jerrycan | 6 | NaN |
| ZiS5 Benzovoz | 388320 | 114000 | 1000 | Backpack, 2 Rifles, Jerrycan | 2 | NaN |
